25년,대리상,직영
MLB," 7,281,233,351 "," 1,094,947,086 "
KIDS," 291,298,208 "," 109,702,269 "
DX," 31,224,807 "," 24,039,955 "
,,
,,
,,
26년,대리상,직영
MLB," 7,648,778,952 "," 1,259,730,785 "
KIDS," 282,715,612 "," 117,930,000 "
DX," 118,733,075 "," 56,875,265 "
,,
,,
,,
성장율,대리상,직영
MLB,105%,115%
KIDS,97%,108%
DX,380%,237%
