브랜드,조정사항,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,사용권자산,,,,,,,,,,,,-1917639.433
MLB,재무비용,,,,,,,,,,,,
MLB,이연수익,,,,,,,,,,,,-371103.57
MLB,반품충당부채,,,,,,,,,,,,-112671.28
MLB,매출원가조정(credit),,,,,,,,,,,,-8897661.84
MLB,기타,,,,,,,,,,,,3684347
MLB,리베이트,,,,,,,,,,,,
MLB,정부보조금,,,,,,,,,,,,-30899782.91
