브랜드,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,,,,-13840.91246,-9467.164703,8356.489791,10210.37952,7874.34797,-13344.96647,-8927.004943,-7054.678893
MLB KIDS,,,,-1273.218345,-946.6650946,755.2464894,353.4014853,450.5571323,-1639.457403,-868.8960944,-1253.70083
DISCOVERY,,,,-413.460703,-436.91555,4583.347818,3992.689851,3532.930579,-2101.069417,-1902.295881,-2367.871995
