,MLB,MLB KIDS,DISCOVERY,,,
대리상출고,"8,627,989","240,059","151,050",,,웬디stock
app,,,,,,
acc,,,,,,
본사상품매입,,,,,,
app,,,,,,
acc,,,,,,
본사기말재고,"796,824","52,400","131,160",,,전월BS
app,,,,,,
acc,,,,,,
,,,,,,
,,,,,,
,,,,,,
,9673103,466921,207257,,,
