브랜드,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,0.344904084,0.345844535,0.318405964,0.341763576,0.338027021,0.325789533,0.344411373,0.341846839,0.355493812,0.344916707,0.346859165
MLB KIDS,0.35663938,0.35737578,0.357938209,0.345382162,0.356879254,0.358849761,0.340586401,0.361226871,0.367851649,0.355750791,0.353532908
DISCOVERY,0.374024692,0.405568523,0.406748143,0.413383469,0.403405957,0.356074964,0.357711609,0.313379128,0.369885657,0.445056186,0.370852049
