계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출_대리상_ACC,,"-419,743",,"-996,068",,,,"-327,064",,,,
Tag매출_대리상_APP,,"-1,522,227",,"-2,519,205",,,,"-1,048,419",,,,
Tag매출_직영_ACC,625642,"310,959",186085,"384,208",166547,138941,172327,"186,407",200416,141840,655482,44455
Tag매출_직영_APP,"3,123,681","1,133,849","433,742","1,063,560","639,180","420,202","660,439","532,534","841,122","852,547","3,370,441","820,817"
리테일매출_대리상,,,,,,,,,,,,
리테일매출_직영,,,,,,,,,,,,
,,,,,,,,,,,,
Tag매출,"3,749,323","-497,162","619,827","-2,067,505","805,727","559,143","832,766","-656,542","1,041,538","994,387","4,025,923","865,272"
Tag매출_직영(ON),"290,880","118,428","164,739","1,131,891","278,575","241,536","387,039","115,748","124,692","189,944","2,871,711","-3,620"
Tag매출_직영(OFF),"3,458,443","1,326,380","455,088","315,877","527,152","317,607","445,727","603,193","916,846","804,443","1,154,212","868,892"
Tag매출_대리상(ON),0,0,0,"-418,359",0,0,0,0,0,0,0,0
Tag매출_대리상(OFF),0,"-1,941,970",0,"-3,096,914",0,0,0,"-1,375,483",0,0,0,0
실판매출,"1,453,771","-156,026","276,274","-938,025","369,941","255,092","227,740","-356,795","231,187","243,259","600,483","150,888"
실판매출_직영(ON),"107,109","49,731","64,387","274,516","105,473","93,202","112,752","43,949","49,323","70,403","400,843",-918
실판매출_직영(OFF),"1,346,662","534,610","211,887","138,094","264,467","161,890","114,988","124,969","181,863","172,856","199,641","151,806"
실판매출_대리상(ON),0,0,0,"-168,236",0,0,0,0,0,0,0,0
실판매출_대리상(OFF),0,"-740,367",0,"-1,182,400",0,0,0,"-525,713",0,0,0,0
매출원가,"1,177,503","-149,048","196,796","-647,496","245,840","172,420","255,331","-206,336","321,790","325,461","1,304,321","277,917"
평가감,"1,931,209","2,079,359","38,657,934","647,750","-246,234","-182,997","-256,495","206,481","-326,658","-322,114","-1,304,321",-279189.6105
평가감(설정),"2,119,193","2,186,820","38,738,629","1,108,340",-394,"-10,577","-1,164","427,801","-4,868","3,347",0,"-1,273"
평가감(환입),"-187,984","-107,461","-80,695","-460,590","-245,840","-172,420","-255,331","-221,320","-321,790","-325,461","-1,304,321",-277916.71
급여(매장),"288,434","134,752","68,804","85,134","93,062","92,000","44,633","23,982","21,848","25,812","21,200",0
복리후생비(매장),"115,616","97,678","62,230","14,047","11,132","7,500","4,137","12,009","7,963","7,929",362,0
플랫폼수수료,"10,326","3,053","4,660","20,192","19,094","16,189","15,001","2,193","10,008","10,605","10,210",-310.84
TP수수료,"69,079","55,940","58,011","121,334","100,978","101,761","108,022","95,646","95,413","96,862","135,391",444.66
직접광고비,"70,632","17,862","12,012","10,249","9,052","9,341","7,033","4,611","1,118","7,728","7,236",5.68
대리상지원금,0,0,0,0,0,0,0,0,0,0,0,0
물류비,"50,472","21,770","167,499","172,596","150,417","159,425","148,003","164,974","121,230","140,249","131,287","171,277"
매장임차료,"895,984","884,352","606,714","411,824","503,546","161,942","314,718","358,313","56,397","50,442",0,-1.67
감가상각비,"140,967","809,358","915,648","53,097","56,398","15,806","14,003","11,721","7,938","7,938",0,0
기타(직접비),"24,410","179,049","194,613","-26,038","101,697","4,276","35,251","27,233","-9,184","4,557","11,745","20,552"
급여(사무실),,,,,,,,,,,,
복리후생비(사무실),,,,,,,,,,,,
광고비,,,,,,,,,,,,
수주회,,,,,,,,,,,,
지급수수료,,,,,,,,,,,,
임차료,,,,,,,,,,,,
감가상각비(영업비),,,,,,,,,,,,
세금과공과,,,,,,,,,,,,
기타(영업비),,,,,,,,,,,,
