level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실),,,,7449.108396,7110.701543,7111.354773,6613.314455,6262.322734,6248.589664,6243.608144,6307.529234
복리후생비(사무실),,,,2577.648757,2035.538819,2542.234711,2237.091737,2316.85343,2691.03932,2096.84463,2626.14463
광고비,,,,12621.32752,10921.73085,11441.65192,17623.82683,15390.34466,12129.27733,14525.11616,9527.682994
수주회,,,,0,0,0,6000,0,200,0,0
지급수수료,,,,2597.494429,2479.130633,1950.21424,1814.946999,2569.768985,1433.86765,1866.714769,2368.244269
임차료,,,,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541
감가상각비(영업비),,,,371.7149163,369.6751313,367.4971574,362.427132,353.5742049,355.8200999,355.0131188,352.9187452
세금과공과,,,,2186.338086,1657.394949,2062.456634,440.801752,329.6171675,3181.713932,3515.280054,2296.593188
기타(영업비),,,,250.4990567,347.1380567,269.5505567,318.7154733,336.4108733,337.88004,320.53254,284.8869533
