계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출_대리상_ACC,"10,131,454","8,190,901","-44,955","5,947,161","4,127,095","10,449,806","9,308,534","10,811,180","5,846,617","3,139,307","5,409,135","8,352,394"
Tag매출_대리상_APP,"26,275,836","14,678,770","20,432,004","15,443,838","964,739","259,368","15,579,079","24,165,647","37,365,383","19,447,174","2,661,933","13,113,024"
Tag매출_직영_ACC,"5,639,905","2,422,653","3,910,731","3,270,197","4,154,083","2,273,173","2,412,408","4,185,490","3,480,666","6,321,089","3,441,092","3,734,821"
Tag매출_직영_APP,"15,325,890","3,721,482","7,960,042","9,425,631","11,634,156","5,875,123","5,654,094","8,912,744","8,498,143","18,276,269","8,668,758","9,725,721"
,,,,,,,,,,,,
Tag매출,"57,373,085","29,013,806","32,257,822","34,086,827","20,880,073","18,857,470","32,954,115","48,075,061","55,190,809","47,183,839","20,180,918","34,925,960"
Tag매출_직영(ON),"6,968,553","2,452,109","6,255,236","5,936,000","6,859,884","3,651,762","3,258,139","5,097,486","5,609,942","15,225,980","5,804,137","5,738,513"
Tag매출_직영(OFF),"13,997,242","3,692,026","5,615,537","7,864,175","7,824,008","4,496,534","4,808,363","8,000,748","6,368,867","9,371,378","6,305,713","7,722,029"
Tag매출_대리상(ON),"2,493,842","2,402,727","4,133,523","4,217,853","2,616,380","1,376,407","2,758,119","5,169,504","4,185,287","5,240,857","4,378,432","2,237,742"
Tag매출_대리상(OFF),"33,913,448","20,466,944","16,253,526","16,068,799","3,579,801","9,332,767","22,129,494","29,807,323","39,026,713","17,345,624","3,692,636","19,227,676"
실판매출,"27,243,972","12,457,232","17,558,941","15,675,991","11,104,241","8,666,699","14,155,878","20,386,419","22,817,893","23,150,870","10,736,958","17,212,845"
실판매출_직영(ON),"4,361,068","1,592,141","3,908,490","3,613,922","4,243,058","2,152,973","1,827,862","2,792,627","3,263,835","9,134,101","3,724,122","3,765,120"
실판매출_직영(OFF),"9,375,205","2,363,316","3,583,393","4,439,650","4,558,178","2,560,435","2,734,944","4,489,515","3,492,960","5,621,814","4,012,949","5,469,428"
실판매출_대리상(ON),"926,915","893,049","1,577,992","1,655,389","972,460","511,585","1,025,142","1,921,409","1,555,593","1,947,929","1,627,382","831,727"
실판매출_대리상(OFF),"12,580,785","7,608,726","8,489,066","5,967,029","1,330,545","3,441,707","8,567,930","11,182,868","14,505,504","6,447,025","1,372,505","7,146,570"
매출원가,"17,606,316","9,490,825","10,448,641","11,764,904","6,128,066","5,708,063","10,006,310","14,663,226","18,929,133","14,816,570","8,489,635","11,115,658"
평가감,"318,304","519,733","1,062,360","425,518","207,237","1,861,661","182,132","73,170","-2,604,404","-7,042","259,746","-315,293"
평가감(설정),"1,273,622","832,227","1,690,000","1,526,543","1,152,615","2,475,310","870,121","1,321,633","-1,468,806","1,238,818","827,139","202,477"
평가감(환입),"-955,318","-312,494","-627,640","-1,101,025","-945,378","-613,649","-687,989","-1,248,463","-1,135,598","-1,245,860","-567,393","-517,770"
급여(매장),"1,205,436","513,907","568,933","775,715","685,062","551,189","427,210","694,484","651,282","811,898","619,108","716,574"
복리후생비(매장),"410,253","455,738","399,810","413,748","388,922","482,957","396,443","550,802","373,164","545,258","370,759","340,844"
플랫폼수수료,"406,329","186,118","380,143","465,489","364,151","342,816","223,456","326,221","370,015","588,270","597,844","370,772"
TP수수료,"362,594","157,630","257,985","296,296","293,266","298,717","130,827","201,817","263,276","593,236","666,290","228,340"
직접광고비,"698,941","327,261","701,314","558,804","766,131","305,009","229,996","375,860","515,559","1,593,116","873,924","779,797"
대리상지원금,"1,351,692","798,934","926,576","673,163","173,474","162,524","595,522",9478.25,"66,982","1,065,082","984,865","1,202,861"
물류비,"634,104","318,985","707,046","596,633","460,684","424,799","515,413","538,033","659,028","735,367","541,383","529,435"
매장임차료,"2,894,303","1,967,998","1,935,852","2,057,595","1,998,501","1,820,672","1,795,517","1,935,062","2,016,007","2,070,941","1,702,616","2,643,515"
감가상각비,"263,042","261,308","318,483","286,934","291,900","293,157","277,084","287,659","267,121","218,398","218,309","224,566"
기타(직접비),"208,425","90,612","105,741","145,525","91,971","167,797","162,773","157,323","209,383","463,828","200,393","317,243"
급여(사무실),"1,144,076","781,612","741,671","841,955","813,233","809,731","826,939","827,543","759,526","755,628","751,852","759,272"
복리후생비(사무실),"193,669","191,929","206,487","206,581","218,701","218,334","202,352","249,619","219,377","224,223","217,982","245,892"
광고비,"1,180,446","1,012,805","1,074,655","1,550,411","1,578,036","1,052,286","1,517,362","1,412,958","1,793,294","1,828,484","1,808,685","1,856,401"
수주회,"351,520",0,0,0,0,0,"305,030",0,"52,497",0,0,0
지급수수료,112,62,"73,241",96,75,"112,559","2,388",83,"11,093",98,73,"-48,006"
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),"2,515","2,481","2,506","2,499","2,511","2,500","2,073","3,651","3,669","3,681","3,123","3,147"
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"15,727","38,247","42,476","47,059","58,049","46,385","57,370","36,245","80,547","17,544","72,280","26,142"
,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0
