level1,level2,MLB,MLB KIDS,DISCOVERY
Tag매출,대리상,"874,744,851","34,952,494","4,615,484"
Tag매출,직영,,,
실판매출,대리상,"379,659,375","17,348,986","2,269,310"
실판매출,직영,,,
매출원가,,"267,437,486","11,034,171","1,642,124"
평가감,,"17,847,228","866,565","5,624,743"
급여(매장),,"4,328,895",1126646,201900
복리후생비(매장),,"1,563,208",401415,83272
플랫폼수수료,,"3,619,250",365585,65682
TP수수료,,"4,967,381",370169,281601
직접광고비,,"28,295",430805,224632
대리상지원금,,"10,434,158","921,474",243589
물류비,,"6,456,664",522643,284003
매장임차료,,"11,695,360","2,112,323",634945
감가상각비,,628722,182084,82617
기타(직접비),,1167630,169743,7476
급여(사무실),,"11,883,555",1135077,"1,825,802"
복리후생비(사무실),,"3,798,654",206696,375391
광고비,,"15,389,572",802682,"2,257,633"
수주회,,0,0,0
지급수수료,,"2,099,857",0,8200
임차료,,1913434,0,0
감가상각비(영업비),,377566,3136.12,6043.08
세금과공과,,203668,0,0
기타(영업비),,164967,3722,87669
