,기초잔액,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,기말잔액,2026년계획(N-1)
현금잔액,"139,543,358","186,366,258","97,643,054","160,120,986","121,288,743","68,724,668","109,971,884","111,713,069","116,890,362","111,027,130","129,354,920","120,637,003","115,967,473","115,967,473",102817962
차입금잔액,"909,685,078","922,085,078","975,685,078","930,000,000","560,000,000","400,000,000","140,000,000","140,000,000","120,000,000","540,000,000","380,000,000","360,000,000","60,000,000","60,000,000",40000000
